result_class,scenario,protocol_kind,siteswap,siteswap_period_beats,observation_period_beats,phase_fraction,object_count,hand_count,object_mass_kg,gravity_m_s2,beat_seconds,dwell_ratio,hand_cycle_s,flight_s,dwell_s,rho_alpha,active_fraction,throw_height_m,launch_energy_j,launch_energy_throughput_w,total_weight_n,peak_lower_bound_n,rms_lower_bound_n,half_sine_peak_n,half_sine_rms_n,kinematic_assumption,force_assumption,half_sine_assumption,energy_scope,source_scope
model consequence,cascade_r025,steady_periodic,3,1.0,3.0,0.5,3,2,0.12,9.81,0.4,0.25,0.8,1.0,0.2,0.5,0.5,1.22625,1.4435415,3.6088537499999997,3.5316,7.0632,4.994436616876822,11.094848615417714,5.547424307708857,uniform three-ball two-hand cascade; half-cycle hand phase; equal release/catch height; negligible drag,complete periods; repeated vertical momentum; gravity only non-body vertical force; force zero in alpha,nonnegative half-sine body force over the active contact fraction,outgoing vertical kinetic-energy throughput; not body work or metabolic cost,standalone numerical model; browser animation is not an analysis input
model consequence,cascade_r035,steady_periodic,3,1.0,3.0,0.5,3,2,0.12,9.81,0.4,0.35,0.8,0.9199999999999999,0.27999999999999997,0.30000000000000004,0.7,1.0378979999999998,1.2218135255999998,3.054533813999999,3.5316,5.045142857142857,4.221069356725344,7.924891868155511,4.688429256444536,uniform three-ball two-hand cascade; half-cycle hand phase; equal release/catch height; negligible drag,complete periods; repeated vertical momentum; gravity only non-body vertical force; force zero in alpha,nonnegative half-sine body force over the active contact fraction,outgoing vertical kinetic-energy throughput; not body work or metabolic cost,standalone numerical model; browser animation is not an analysis input
model consequence,cascade_r045,steady_periodic,3,1.0,3.0,0.5,3,2,0.12,9.81,0.4,0.45,0.8,0.8400000000000001,0.36000000000000004,0.09999999999999998,0.9,0.8652420000000002,1.0185628824000001,2.546407206,3.5316,3.924,3.7226332615502162,6.163804786343174,4.134805950690572,uniform three-ball two-hand cascade; half-cycle hand phase; equal release/catch height; negligible drag,complete periods; repeated vertical momentum; gravity only non-body vertical force; force zero in alpha,nonnegative half-sine body force over the active contact fraction,outgoing vertical kinetic-energy throughput; not body work or metabolic cost,standalone numerical model; browser animation is not an analysis input
model consequence,cascade_r050,steady_periodic,3,1.0,3.0,0.5,3,2,0.12,9.81,0.4,0.5,0.8,0.8,0.4,0.0,1.0,0.7848000000000002,0.9238665600000002,2.3096664000000002,3.5316,3.5316,3.5316,5.547424307708857,3.922621346100022,uniform three-ball two-hand cascade; half-cycle hand phase; equal release/catch height; negligible drag,complete periods; repeated vertical momentum; gravity only non-body vertical force; force zero in alpha,nonnegative half-sine body force over the active contact fraction,outgoing vertical kinetic-energy throughput; not body work or metabolic cost,standalone numerical model; browser animation is not an analysis input
model consequence,cascade_r060,steady_periodic,3,1.0,3.0,0.5,3,2,0.12,9.81,0.4,0.6,0.8,0.7200000000000001,0.48,0.0,1.0,0.6356880000000001,0.7483319136000002,1.8708297840000003,3.5316,3.5316,3.5316,5.547424307708857,3.922621346100022,uniform three-ball two-hand cascade; half-cycle hand phase; equal release/catch height; negligible drag,complete periods; repeated vertical momentum; gravity only non-body vertical force; force zero in alpha,nonnegative half-sine body force over the active contact fraction,outgoing vertical kinetic-energy throughput; not body work or metabolic cost,standalone numerical model; browser animation is not an analysis input
model consequence,cascade_r070,steady_periodic,3,1.0,3.0,0.5,3,2,0.12,9.81,0.4,0.7,0.8,0.6400000000000001,0.5599999999999999,0.0,1.0,0.5022720000000003,0.5912745984000003,1.4781864960000006,3.5316,3.5316,3.5316,5.547424307708857,3.922621346100022,uniform three-ball two-hand cascade; half-cycle hand phase; equal release/catch height; negligible drag,complete periods; repeated vertical momentum; gravity only non-body vertical force; force zero in alpha,nonnegative half-sine body force over the active contact fraction,outgoing vertical kinetic-energy throughput; not body work or metabolic cost,standalone numerical model; browser animation is not an analysis input
model consequence,cascade_r080,steady_periodic,3,1.0,3.0,0.5,3,2,0.12,9.81,0.4,0.8,0.8,0.5599999999999999,0.6400000000000001,0.0,1.0,0.38455199999999995,0.4526946144,1.1317365359999998,3.5316,3.5316,3.5316,5.547424307708857,3.922621346100022,uniform three-ball two-hand cascade; half-cycle hand phase; equal release/catch height; negligible drag,complete periods; repeated vertical momentum; gravity only non-body vertical force; force zero in alpha,nonnegative half-sine body force over the active contact fraction,outgoing vertical kinetic-energy throughput; not body work or metabolic cost,standalone numerical model; browser animation is not an analysis input
model consequence,cascade_r090,steady_periodic,3,1.0,3.0,0.5,3,2,0.12,9.81,0.4,0.9,0.8,0.48,0.7200000000000001,0.0,1.0,0.282528,0.3325919616,0.8314799039999999,3.5316,3.5316,3.5316,5.547424307708857,3.922621346100022,uniform three-ball two-hand cascade; half-cycle hand phase; equal release/catch height; negligible drag,complete periods; repeated vertical momentum; gravity only non-body vertical force; force zero in alpha,nonnegative half-sine body force over the active contact fraction,outgoing vertical kinetic-energy throughput; not body work or metabolic cost,standalone numerical model; browser animation is not an analysis input
