derivation,case_id,metric,ruby_value,julia_value,absolute_difference,comparison_mode,status,result_class
two_object_phase,d=2/5;phase=7/40,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=7/40,alpha_mean_bout_fraction,0.425,0.425,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=7/40,alpha_maximum_bout_fraction,0.425,0.425,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=7/40,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/5,p_alpha,0.4,0.4,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/5,p_polymorphy,0.4,0.4,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/5,p_kappa,0.2,0.2,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/5,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/5,alpha_mean_bout_fraction,0.4,0.4,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/5,alpha_maximum_bout_fraction,0.4,0.4,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/5,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=9/40,p_alpha,0.375,0.375,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=9/40,p_polymorphy,0.45,0.45,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=9/40,p_kappa,0.175,0.175,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=9/40,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=9/40,alpha_mean_bout_fraction,0.375,0.375,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=9/40,alpha_maximum_bout_fraction,0.375,0.375,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=9/40,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/4,p_alpha,0.35,0.35,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/4,p_polymorphy,0.5,0.5,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/4,p_kappa,0.15,0.15,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/4,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/4,alpha_mean_bout_fraction,0.35,0.35,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/4,alpha_maximum_bout_fraction,0.35,0.35,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=1/4,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=11/40,p_alpha,0.325,0.325,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=11/40,p_polymorphy,0.55,0.55,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=11/40,p_kappa,0.125,0.125,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=11/40,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=11/40,alpha_mean_bout_fraction,0.325,0.325,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=11/40,alpha_maximum_bout_fraction,0.325,0.325,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=11/40,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/10,p_alpha,0.3,0.3,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/10,p_polymorphy,0.6,0.6,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/10,p_kappa,0.1,0.1,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/10,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/10,alpha_mean_bout_fraction,0.3,0.3,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/10,alpha_maximum_bout_fraction,0.3,0.3,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/10,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=13/40,p_alpha,0.275,0.275,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=13/40,p_polymorphy,0.65,0.65,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=13/40,p_kappa,0.075,0.075,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=13/40,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=13/40,alpha_mean_bout_fraction,0.275,0.275,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=13/40,alpha_maximum_bout_fraction,0.275,0.275,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=13/40,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=7/20,p_alpha,0.25,0.25,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=7/20,p_polymorphy,0.7,0.7,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=7/20,p_kappa,0.05,0.05,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=7/20,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=7/20,alpha_mean_bout_fraction,0.25,0.25,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=7/20,alpha_maximum_bout_fraction,0.25,0.25,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=7/20,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/8,p_alpha,0.225,0.225,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/8,p_polymorphy,0.75,0.75,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/8,p_kappa,0.025,0.025,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/8,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/8,alpha_mean_bout_fraction,0.225,0.225,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/8,alpha_maximum_bout_fraction,0.225,0.225,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=3/8,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=2/5,p_alpha,0.2,0.2,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=2/5,p_polymorphy,0.8,0.8,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=2/5,p_kappa,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=2/5,alpha_entry_count,1.0,1.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=2/5,alpha_mean_bout_fraction,0.2,0.2,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=2/5,alpha_maximum_bout_fraction,0.2,0.2,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=2/5,alpha_bout_variance_fraction_squared,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=17/40,p_alpha,0.2,0.2,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=17/40,p_polymorphy,0.8,0.8,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=17/40,p_kappa,0.0,0.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=17/40,alpha_entry_count,2.0,2.0,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=17/40,alpha_mean_bout_fraction,0.1,0.1,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=17/40,alpha_maximum_bout_fraction,0.175,0.175,0.0,exact,match,model consequence
two_object_phase,d=2/5;phase=17/40,alpha_bout_variance_fraction_squared,0.005625,0.005625,0.0,exact,match,model consequence
