battery,hypothesis,noise_case,result_class,mechanics_result_class,exact_result_class,scenario,beat_seconds,beat_frequency_hz,dwell_ratio,flight_s,dwell_s,rho_alpha,alpha_entry_rate_hz,alpha_bout_s,active_fraction,throw_height_m,launch_energy_j,launch_energy_throughput_w,peak_lower_bound_n,rms_lower_bound_n,position_noise_m,velocity_noise_m_s,landing_error_sigma_m,catch_radius_m,standardized_catch_radius,trials,seed,clean_probability,correction_probability,drop_probability,exact_clean_probability,exact_correction_probability,exact_drop_probability,clean_residual,correction_residual,drop_residual,exact_clean_within_wilson,exact_correction_within_wilson,exact_drop_within_wilson,calibration_status,hypothesis_scope
noise_ablation,the modeled dwell gradient is identified by flight-time-scaled velocity noise,combined,simulation estimate,model consequence,model consequence,noise_combined_r0.25,0.4,2.5,0.25,1.0,0.2,0.5,2.5,0.2,0.5,1.22625,1.4435415,3.6088537499999997,7.0632,4.994436616876822,0.008,0.04,0.04079215610874228,0.035,0.8580080912295551,20000,20260821,0.328,0.28215,0.38985,0.33207971946226755,0.27703228494551846,0.390887995592214,-0.004079719462267539,0.005117715054481553,-0.0010379955922140138,true,true,true,uncalibrated illustrative model,model discrimination under declared assumptions; not empirical validation
noise_ablation,the modeled dwell gradient is identified by flight-time-scaled velocity noise,combined,simulation estimate,model consequence,model consequence,noise_combined_r0.5,0.4,2.5,0.5,0.8,0.4,0.0,0.0,0.0,1.0,0.7848000000000002,0.9238665600000002,2.3096664000000002,3.5316,3.5316,0.008,0.04,0.03298484500494128,0.035,1.061093359533957,20000,20260821,0.40185,0.30585,0.2923,0.4042670467444276,0.30708547788203555,0.28864747537353685,-0.002417046744427609,-0.0012354778820355405,0.0036525246264631495,true,true,true,uncalibrated illustrative model,model discrimination under declared assumptions; not empirical validation
noise_ablation,the modeled dwell gradient is identified by flight-time-scaled velocity noise,combined,simulation estimate,model consequence,model consequence,noise_combined_r0.9,0.4,2.5,0.9,0.48,0.7200000000000001,0.0,0.0,0.0,1.0,0.282528,0.3325919616,0.8314799039999999,3.5316,3.5316,0.008,0.04,0.0208,0.035,1.682692307692308,20000,20260821,0.60095,0.30395,0.0951,0.5998459584741893,0.30771936989958293,0.09243467162622779,0.0011040415258106728,-0.0037693698995829306,0.002665328373772216,true,true,true,uncalibrated illustrative model,model discrimination under declared assumptions; not empirical validation
noise_ablation,the modeled dwell gradient is identified by flight-time-scaled velocity noise,position_only,simulation estimate,model consequence,model consequence,noise_position_only_r0.25,0.4,2.5,0.25,1.0,0.2,0.5,2.5,0.2,0.5,1.22625,1.4435415,3.6088537499999997,7.0632,4.994436616876822,0.008,0.0,0.008,0.035,4.375,20000,20260821,0.96975,0.03025,0.0,0.9712939567823967,0.028693899969780667,1.2143247822661224e-5,-0.001543956782396716,0.0015561000302193317,-1.2143247822661224e-5,true,true,true,uncalibrated illustrative model,model discrimination under declared assumptions; not empirical validation
noise_ablation,the modeled dwell gradient is identified by flight-time-scaled velocity noise,position_only,simulation estimate,model consequence,model consequence,noise_position_only_r0.5,0.4,2.5,0.5,0.8,0.4,0.0,0.0,0.0,1.0,0.7848000000000002,0.9238665600000002,2.3096664000000002,3.5316,3.5316,0.008,0.0,0.008,0.035,4.375,20000,20260821,0.96975,0.03025,0.0,0.9712939567823967,0.028693899969780667,1.2143247822661224e-5,-0.001543956782396716,0.0015561000302193317,-1.2143247822661224e-5,true,true,true,uncalibrated illustrative model,model discrimination under declared assumptions; not empirical validation
noise_ablation,the modeled dwell gradient is identified by flight-time-scaled velocity noise,position_only,simulation estimate,model consequence,model consequence,noise_position_only_r0.9,0.4,2.5,0.9,0.48,0.7200000000000001,0.0,0.0,0.0,1.0,0.282528,0.3325919616,0.8314799039999999,3.5316,3.5316,0.008,0.0,0.008,0.035,4.375,20000,20260821,0.96975,0.03025,0.0,0.9712939567823967,0.028693899969780667,1.2143247822661224e-5,-0.001543956782396716,0.0015561000302193317,-1.2143247822661224e-5,true,true,true,uncalibrated illustrative model,model discrimination under declared assumptions; not empirical validation
noise_ablation,the modeled dwell gradient is identified by flight-time-scaled velocity noise,velocity_only,simulation estimate,model consequence,model consequence,noise_velocity_only_r0.25,0.4,2.5,0.25,1.0,0.2,0.5,2.5,0.2,0.5,1.22625,1.4435415,3.6088537499999997,7.0632,4.994436616876822,0.0,0.04,0.04,0.035,0.8750000000000001,20000,20260821,0.3317,0.29055,0.37775,0.3382512239182416,0.28017487037673716,0.38157390570502125,-0.006551223918241589,0.010375129623262813,-0.00382390570502128,true,false,true,uncalibrated illustrative model,model discrimination under declared assumptions; not empirical validation
noise_ablation,the modeled dwell gradient is identified by flight-time-scaled velocity noise,velocity_only,simulation estimate,model consequence,model consequence,noise_velocity_only_r0.5,0.4,2.5,0.5,0.8,0.4,0.0,0.0,0.0,1.0,0.7848000000000002,0.9238665600000002,2.3096664000000002,3.5316,3.5316,0.0,0.04,0.032,0.035,1.09375,20000,20260821,0.41055,0.3147,0.27475,0.41553538778318333,0.3103999736069934,0.2740646386098233,-0.004985387783183304,0.004300026393006584,0.0006853613901767197,true,true,true,uncalibrated illustrative model,model discrimination under declared assumptions; not empirical validation
noise_ablation,the modeled dwell gradient is identified by flight-time-scaled velocity noise,velocity_only,simulation estimate,model consequence,model consequence,noise_velocity_only_r0.9,0.4,2.5,0.9,0.48,0.7200000000000001,0.0,0.0,0.0,1.0,0.282528,0.3325919616,0.8314799039999999,3.5316,3.5316,0.0,0.04,0.0192,0.035,1.822916666666667,20000,20260821,0.64035,0.29045,0.0692,0.6379460699692306,0.2937379167927198,0.06831601323804953,0.00240393003076933,-0.003287916792719836,0.0008839867619504643,true,true,true,uncalibrated illustrative model,model discrimination under declared assumptions; not empirical validation
