configuration,object_count,phase_offset_fraction,phase_offset_fraction_exact,individual_airborne_duty,individual_airborne_duty_exact,period_beats,beat_seconds,beat_seconds_exact,period_seconds,period_seconds_exact,p_alpha,p_alpha_exact,alpha_entry_count,alpha_entry_rate_hz,alpha_entry_rate_hz_exact,alpha_bout_lengths,alpha_bout_lengths_exact,result_class
aligned,2,0,0,0.6,3/5,5,0.4,2/5,2,2,0.6,3/5,1,0.5,1/2,1.2,6/5,model consequence
half_cycle_offset,2,0.5,1/2,0.6,3/5,5,0.4,2/5,2,2,0.2,1/5,2,1,1,0.2;0.2,1/5;1/5,model consequence
